run_id,environment,initial_state,backend,seed,episode,goal_id,goal_name,success,steps,total_reward
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,1,0,Z0,True,14,9.87
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,2,5,X0_Z0,False,15,0.8599999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,3,1,Z1,True,12,9.89
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,4,5,X0_Z0,True,11,10.91
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,5,1,Z1,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,6,1,Z1,True,1,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,7,4,Z0_X0,True,14,10.879999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,8,5,X0_Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,9,3,X1,True,7,9.94
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,10,1,Z1,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,11,2,X0,True,3,9.98
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,12,4,Z0_X0,True,12,10.9
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,13,6,weakZ0_Z0,True,11,10.91
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,14,3,X1,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,15,1,Z1,True,8,9.93
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,16,5,X0_Z0,True,7,10.95
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,17,2,X0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,18,0,Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,19,4,Z0_X0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,20,5,X0_Z0,False,15,0.86
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,21,4,Z0_X0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,22,3,X1,True,14,9.87
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,23,0,Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,24,2,X0,True,3,9.98
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,25,2,X0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,26,2,X0,True,11,9.9
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,27,5,X0_Z0,False,15,0.86
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,28,1,Z1,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,29,2,X0,True,6,9.95
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,30,5,X0_Z0,False,15,0.8599999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,31,4,Z0_X0,True,4,10.98
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,32,3,X1,True,14,9.87
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,33,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,34,6,weakZ0_Z0,True,7,10.95
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,35,5,X0_Z0,True,15,10.87
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,36,1,Z1,True,8,9.93
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,37,6,weakZ0_Z0,True,13,10.89
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,38,1,Z1,True,1,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,39,1,Z1,True,1,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,40,4,Z0_X0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,41,6,weakZ0_Z0,True,11,10.91
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,42,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,43,5,X0_Z0,False,15,0.86
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,44,0,Z0,True,14,9.87
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,45,5,X0_Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,46,5,X0_Z0,False,15,0.8599999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,47,4,Z0_X0,False,15,0.8599999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,48,1,Z1,True,1,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,49,6,weakZ0_Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,50,0,Z0,True,14,9.87
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,51,6,weakZ0_Z0,True,14,10.879999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,52,3,X1,True,8,9.93
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,53,2,X0,True,9,9.92
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,54,5,X0_Z0,False,15,0.8599999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,55,3,X1,True,10,9.91
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,56,6,weakZ0_Z0,False,15,0.8599999999999999
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,57,3,X1,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,58,1,Z1,True,1,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,59,4,Z0_X0,False,15,0.86
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,60,5,X0_Z0,True,6,10.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,61,3,X1,True,12,9.89
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,62,6,weakZ0_Z0,True,11,10.91
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,63,0,Z0,True,13,9.88
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,64,3,X1,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,65,3,X1,True,10,9.91
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,66,1,Z1,True,1,10.0
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,67,3,X1,True,3,9.98
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,68,2,X0,True,7,9.94
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,69,6,weakZ0_Z0,False,15,0.86
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,70,5,X0_Z0,True,9,10.93
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,71,3,X1,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,72,3,X1,True,6,9.95
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,73,6,weakZ0_Z0,True,8,10.94
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,74,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,75,4,Z0_X0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,76,6,weakZ0_Z0,False,15,0.8599999999999999
