run_id,environment,initial_state,backend,seed,episode,goal_id,goal_name,success,steps,total_reward
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,1,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,2,0,Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,3,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,4,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,5,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,6,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,7,0,Z0,True,4,9.97
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,8,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,9,0,Z0,True,7,9.94
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,10,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,11,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,12,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,13,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,14,0,Z0,True,6,9.95
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,15,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,16,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,17,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,18,0,Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,19,0,Z0,True,12,9.89
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,20,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,21,0,Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,22,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,23,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,24,0,Z0,True,12,9.89
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,25,0,Z0,True,12,9.89
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,26,0,Z0,True,6,9.95
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,27,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,28,0,Z0,False,15,-0.15
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,29,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,30,0,Z0,True,15,9.86
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,31,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,32,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,33,0,Z0,True,5,9.96
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,34,0,Z0,True,8,9.93
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,35,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,36,0,Z0,True,2,9.99
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,37,0,Z0,True,8,9.93
qubit-zx-weak__one__tabular__seed0,qubit-zx-weak,one,tabular,0,38,0,Z0,True,13,9.88
